Designator,Mid X,Mid Y,Rotation,Layer
D1,120.02,-69.6,0.0,top
D10,157.9,-84.1,0.0,top
D11,158.18,-103.26,0.0,top
D12,135.31,-110.15,0.0,top
D13,176.94,-69.64,0.0,top
D14,176.94,-88.52,0.0,top
D15,177.14,-107.4,0.0,top
D16,207.97,-98.52,0.0,top
D17,196.46,-76.53,0.0,top
D18,196.26,-95.81,0.0,top
D19,189.13,-98.16,0.0,top
D2,119.54,-88.96,0.0,top
D20,207.93,-96.13,0.0,top
D3,119.81,-108.28,0.0,top
D4,103.98,-115.99,0.0,top
D5,139.3,-67.53,0.0,top
D6,138.86,-86.61,0.0,top
D7,139.29,-105.88,0.0,top
D8,112.49,-112.45,0.0,top
D9,157.78,-64.98,0.0,top
J1,98.84,-92.47,90.0,top
J2,94.95,-83.3,90.0,top
J3,94.95,-85.57,270.0,bottom
SW1,120.3,-61.06,180.0,top
SW10,157.91,-75.3,180.0,top
SW11,157.9,-94.34,180.0,top
SW12,142.925,-117.515,180.0,top
SW13,177.0,-60.94,180.0,top
SW14,177.0,-79.94,180.0,top
SW15,177.0,-99.04,180.0,top
SW16,215.2,-106.04,180.0,top
SW17,196.1,-67.86,180.0,top
SW18,196.1,-87.0,180.0,top
SW19,196.1,-106.04,180.0,top
SW2,119.7,-80.14,180.0,top
SW20,215.2,-86.94,180.0,top
SW3,119.7,-99.24,180.0,top
SW4,100.513765,-126.996918,210.0,top
SW5,138.8,-58.84,180.0,top
SW6,138.8,-77.94,180.0,top
SW7,138.8,-97.04,180.0,top
SW8,121.617867,-119.342813,190.0,top
SW9,157.9,-56.24,180.0,top
